origin,dest,count
6136,6075,1
7019,6306,1
6152,6133,17
6252,6048,2
6174,7082,4
6044,6161,1
6039,6049,68
6745,6184,1
6018,6036,9
6266,6004,1
6255,6261,7
6173,6406,1
6280,6389,1
6356,6200,1
6379,7059,10
6147,6100,5
6424,6746,2
7114,7141,5
6140,6329,4
6907,6044,6
6133,7027,7
6724,6377,9
7127,6199,3
6051,6152,1
6062,6727,6
6344,6140,1
6200,6184,28
7064,7093,1
6065,6044,8
6228,6213,14
7038,6223,4
6423,6435,1
6124,4000,13
6926,6161,2
7141,6409,6
6187,6181,1
7076,6424,1
6189,6040,1
7071,6347,1
6321,7069,3
6139,7081,2
6073,6263,3
6232,6913,1
6262,6163,2
6727,6039,23
6073,6729,63
6165,6231,12
6184,7072,4
6218,6262,2
6925,7092,1
6429,6083,2
6903,6123,1
6012,6090,6
6315,7025,2
6089,6235,2
6277,6150,5
6151,6737,1
7032,7038,1
7060,6349,6
6049,7009,1
6916,6110,1
6061,6079,8
6251,6306,1
7037,6910,1
6191,7041,1
6158,6195,5
6420,6231,1
6355,6014,1
6753,7044,13
6903,6079,10
6009,6038,7
6727,6429,6
6904,6250,11
6073,6339,3
6406,6067,2
6243,6046,10
6052,6346,6
6727,6163,1
6307,6082,1
6151,6327,1
6061,6123,1
6435,6202,1
6340,6027,2
6170,6358,1
6177,6171,1
6387,7032,2
6435,6748,1
6080,6087,2
6350,7046,1
6281,6001,1
7096,6218,2
6371,7039,14
7003,6436,5
6397,6053,2
6246,7014,5
6359,6049,8
6097,6128,2
6908,6747,8
6903,6903,16
6005,6065,4
6248,6232,5
6213,6406,1
6743,6025,1
6385,6249,1
6036,6200,5
7062,7068,3
6227,6100,11
7109,7112,8
6206,6435,2
7011,7081,41
6916,6930,18
6275,6196,2
6701,4000,1
6194,6403,4
7084,6002,2
7037,6130,1
6146,7035,8
6359,6113,15
6097,6072,13
6241,6080,1
7022,6059,1
6248,6368,2
6160,6184,20
7003,6026,14
6078,6017,8
6113,6427,1
6148,6213,5
6132,6112,19
6181,6020,18
6050,7067,1
7025,6270,1
6929,6328,1
6743,6435,5
6061,6903,11
7109,7048,125
6220,6273,1
6411,6092,5
7084,6158,2
6031,6173,1
7083,6371,1
7030,6243,1
6194,6013,8
6201,6746,2
6017,6501,2
6744,6038,2
6193,6154,6
6251,6912,24
7011,6152,5
6275,7045,5
6227,6334,2
6129,7069,4
6106,6230,8
6248,6006,1
6927,6187,2
6186,6167,7
6078,6379,1
6376,7024,2
6214,6151,5
6132,6736,1
6023,6007,1
6241,7009,1
6929,6046,4
7079,6049,18
6425,7057,21
6908,6039,1
6232,6307,1
6017,6111,4
6208,7037,6
6194,6227,1
6359,6737,3
7011,6008,7
6101,6409,1
6336,6015,1
6206,6211,64
7083,6145,11
6063,7036,2
6201,6038,1
6364,6083,2
6042,7049,13
6175,6383,1
6036,6424,5
6310,6243,13
6220,6047,7
6213,6222,8
6248,6416,1
6141,7028,1
6113,6359,10
6099,6387,5
6908,6163,2
6181,6214,21
6324,6745,6
6167,6199,2
7003,6212,4
6078,6223,4
7058,6426,14
6148,6027,6
6701,6921,2
6002,6122,2
6023,6417,1
7079,6113,2
6169,6058,1
6232,6717,1
7013,6194,19
6170,6036,2
6361,6336,1
6334,6189,4
6916,6324,1
6066,6064,3
7041,6102,5
6277,6364,2
6085,6926,2
6191,6192,2
6139,6152,24
6165,6005,3
6328,6252,4
6183,6388,5
7142,6429,52
7029,6019,6
6230,7026,8
6111,7122,4
6073,6057,11
6406,6309,8
6216,6197,2
6420,6415,2
6243,6328,2
6033,6381,2
6385,6907,5
6047,6141,1
6222,6081,1
7041,6058,8
4002,7129,1
7069,7028,2
6368,6184,14
7022,4002,1
6040,6368,1
6340,6213,2
6089,6411,1
7048,7057,6
7081,6183,1
7029,6143,3
6002,6902,1
6754,7059,4
6139,6008,11
7027,6082,1
6026,7055,1
6701,6101,1
6262,6747,10
6402,6724,6
6424,6038,2
6724,6143,1
6261,6019,3
7059,7059,9
6907,6270,2
6322,7113,6
6370,6262,1
6147,6334,5
6131,6912,2
6928,7029,2
7071,6029,2
6926,6745,1
6921,6026,2
6098,6155,1
6423,6211,2
7063,6233,3
7082,7070,8
6912,6243,8
6018,6202,2
6100,6391,2
6209,6102,3
6174,6151,2
7045,6065,1
6121,7009,5
6018,6748,17
7108,6349,1
6736,6359,1
6152,6307,6
6100,7076,34
6168,7037,2
7141,6377,2
7071,6173,1
6094,6928,2
7021,6903,8
6166,6211,2
6303,7036,4
6147,6724,1
6261,6143,1
6004,6083,3
6921,6436,1
7097,7119,1
6215,6383,1
6070,6243,2
5007,6099,1
6173,6222,5
6192,7061,3
6043,6026,32
7038,6017,2
6221,7028,8
6062,6059,5
6915,6130,2
6207,6199,3
6343,6417,1
7031,7018,1
6209,6058,3
6274,6170,2
6039,6327,3
6109,6123,3
6117,7083,4
6072,7038,8
7009,7009,1
7095,6362,1
7026,6250,1
6053,7047,7
6131,6132,4
6231,6049,2
7052,6090,3
6726,6185,2
6306,6064,1
6236,6260,1
6027,6160,1
6231,6503,13
7021,6079,3
6394,6129,1
6159,6029,1
6369,6356,15
6197,6033,1
6259,6152,22
6190,6750,51
6205,6005,3
6150,7026,18
6081,6061,5
6062,6923,1
7019,6912,12
6176,6197,7
7033,6729,16
6119,7018,1
6136,6241,20
6185,6373,2
6924,6393,2
6394,6073,7
6094,6108,2
7143,7056,5
6372,7019,8
6138,6380,2
6110,6017,4
6020,6213,2
6032,6009,1
7049,6038,3
6386,6723,1
7080,6741,2
6915,6910,13
6503,6393,1
6434,7059,1
6197,6169,27
6259,6008,4
6224,6120,2
6035,6220,1
7015,6425,30
6910,7038,2
6123,6738,11
10002,6429,2
6386,6269,6
6184,6038,2
6309,7053,1
6095,6243,1
6211,6227,17
6021,6158,3
6095,6709,3
6230,6258,3
7020,6722,1
6183,6211,30
6104,7088,1
6061,7033,6
4002,6747,15
6312,6246,3
6089,6198,4
6716,6917,4
7014,6224,13
6222,6042,1
6015,6114,47
7035,6711,1
6125,6310,5
6196,6222,15
6368,6147,3
6258,6343,2
6087,6059,1
6198,7004,1
6387,6122,3
7081,6140,6
6049,6043,306
6204,6214,27
7032,6072,4
6111,6206,1
6701,6098,19
6021,6002,2
6321,6179,2
6218,6095,1
7041,10002,2
6130,6279,1
6427,7052,21
6230,6302,6
6184,6162,3
6903,7033,17
6073,6094,2
6309,7109,1
6408,6741,78
6216,6154,10
6068,6166,8
7072,7043,1
7014,7099,4
6158,6362,2
6258,6219,5
7067,6397,1
6049,6119,5
6279,6266,8
6203,6167,1
6361,7012,1
6918,6226,1
6222,6118,1
6253,6917,25
6012,6267,2
7025,6087,3
6901,6248,3
6359,7003,6
6267,6021,2
6376,6710,1
6160,6373,1
6371,6073,2
7077,6011,1
6241,6277,2
6906,6061,1
6737,6148,1
6913,6052,2
6019,6013,5
6364,6040,20
6129,6217,9
6387,6902,3
6175,6340,1
6730,6361,2
6108,6268,1
6310,6280,4
6160,6229,2
6092,6910,1
6704,6277,15
6422,6410,1
6214,6192,1
6371,6129,6
6324,6396,2
6097,7038,2
6725,6742,97
6057,6204,9
6019,6149,4
6064,6061,5
6229,6236,2
6154,6265,17
6106,7114,6
6913,6108,2
6315,6915,2
4000,7076,9
6275,6361,1
6227,7010,1
6193,6197,2
6208,6249,1
7032,6908,1
4000,6391,49
6737,6012,1
6042,6237,1
6017,6088,1
7062,6432,1
6331,7042,1
6253,6137,4
6175,6750,2
6063,6248,11
7068,6084,26
6276,6175,2
7012,7062,1
6346,6371,16
6171,6227,3
6041,6023,8
6150,6258,1
6250,6323,4
6202,7052,1
6700,6700,12
7028,6208,2
6407,6118,1
7009,6277,2
6072,6246,1
7028,6742,2
6245,6310,1
7073,6176,9
6217,7061,1
6902,6106,1
6219,6247,2
6182,6199,7
6164,6214,2
7047,6060,3
6259,6191,4
6041,6179,1
6250,6279,7
6178,6095,1
6386,7017,1
7061,6236,1
6032,6190,1
6910,6246,1
7040,6249,7
6046,6350,7
6176,6154,63
6250,6733,24
6138,6219,2
6053,7084,10
6236,7144,1
6264,6235,8
6029,6062,1
6358,6916,6
6163,6167,30
6119,6266,1
6138,6753,6
6053,6363,4
6421,6214,3
6001,7012,2
6354,6031,5
6905,6275,12
6142,6118,4
7074,6205,1
6372,6267,3
6407,6042,2
6039,7003,14
6100,6742,9
7042,7032,8
6107,6021,2
7064,6183,1
6100,6208,12
6200,6373,1
6011,6073,32
6121,6277,1
7082,6744,5
6419,6205,2
6311,6108,1
6928,6257,1
6212,6169,4
6112,6012,103
6423,6388,1
6233,6116,3
6750,6750,13
6303,6312,3
6212,6423,2
6187,6376,1
6004,6040,2
6249,6217,2
6058,6117,15
7023,6126,1
6396,6076,5
7113,6322,3
7141,7053,8
6268,6268,14
6200,6229,13
6912,6280,7
6083,6064,17
6273,7127,1
6060,6926,5
7127,6234,2
6174,6192,1
6044,6396,1
6126,6104,5
6195,6036,2
5007,6100,1
7082,6354,3
6149,6236,5
7002,6003,1
6079,6032,5
6234,6265,1
6268,6332,1
6096,6057,1
6702,7031,1
6405,6084,14
6168,6249,7
6112,6148,8
6377,6088,1
7024,6255,4
6168,6703,2
7097,6367,3
6133,6137,3
6215,6750,1
6180,6005,1
6098,6196,3
6209,10002,1
6921,6011,1
6006,6908,2
6247,6278,1
6268,7021,4
6907,6247,4
7078,7011,4
7141,6750,1
6161,6155,11
6100,7041,43
6152,6330,1
7019,6105,1
6109,6504,19
10002,6049,5
6273,6234,5
7127,7127,6
6174,6166,2
6436,6215,4
6252,6701,4
6344,6219,6
6083,6090,2
6155,6119,4
7082,7047,22
6912,6274,1
6043,6401,17
6384,7025,1
6140,6070,3
6091,7037,3
6070,6274,3
6231,6904,5
6921,6401,13
6926,6362,1
6149,6398,1
6147,6713,1
6261,6174,3
6187,7065,1
6133,6099,3
6098,6038,3
6306,6929,1
6504,5005,2
6215,7053,5
6247,6322,4
6147,6259,1
7113,7031,1
6109,6114,4
7042,6321,2
6011,6087,1
6200,6387,1
6037,7136,1
6155,6043,26
6252,6311,6
6738,7012,13
6200,7060,1
6043,6011,58
7038,6020,6
6173,6215,1
6736,6234,2
6217,6228,1
6752,6372,6
6027,6157,1
6306,6053,4
6006,6128,3
6163,6193,19
6053,6397,2
6029,6096,46
6131,6105,15
6182,6037,4
7028,7041,2
6053,7070,1
6728,6073,1
7095,6355,1
6752,7095,2
6032,6164,1
6150,7011,9
6314,6703,3
7080,7081,9
6075,10002,1
6335,6236,2
6205,6032,11
6209,6915,7
6259,6165,1
5005,6132,1
6124,6136,1
7080,6366,1
6749,6280,1
6314,6249,2
6117,6743,2
6231,6124,1
6020,6224,1
6093,6316,2
6110,6020,2
7073,6182,4
6117,6209,4
6752,6228,2
6217,6372,1
6245,7003,5
6136,6276,4
6185,6344,1
6105,6013,3
6035,6217,2
6224,6117,6
6255,6918,1
6388,7078,1
6276,6181,5
6915,6927,2
6205,6422,1
6013,6041,3
6202,6341,2
6157,6085,8
6336,6178,1
6127,6278,1
6227,6303,2
7011,6165,2
6193,6163,24
6064,6095,71
7037,6333,1
6201,6155,11
6232,6330,2
7065,7042,1
6425,7060,65
6090,6102,1
7149,6730,1
6214,6166,4
6186,6150,2
6248,6031,4
6220,6070,25
6151,6904,2
7126,6012,1
6038,6098,2
6310,6274,2
6730,6395,65
6036,6413,1
6229,6398,2
6031,6370,1
7030,6040,1
6253,6099,1
6036,6159,13
6227,6259,6
6127,6322,1
6017,6126,1
6269,6114,6
6114,6147,4
6359,6310,1
6160,6387,4
6235,6043,5
6078,6214,11
6099,7057,2
7079,6124,1
7003,6225,2
6181,6223,23
6908,6154,8
6090,6058,3
7025,6073,2
6213,6215,3
6089,6036,2
6225,7022,3
6156,6257,2
6713,6276,2
6066,6053,5
7067,7084,17
6203,6193,6
6349,6096,9
7035,7012,1
6040,6205,3
6748,6108,2
6073,6060,30
6143,6264,2
7138,6255,1
6427,6341,226
6262,6360,1
6230,7011,1
6925,6176,1
6184,6196,36
6265,6149,6
6218,6061,9
6328,6265,4
6165,6032,1
6401,6117,5
6169,6915,2
7020,7021,1
6139,6165,1
6380,7018,1
6151,6124,20
6748,6052,30
6270,6020,2
7046,6246,3
6916,6703,7
6277,6209,1
6047,6176,4
6389,6017,1
6385,6930,4
6366,6072,9
6017,6906,2
6165,6168,8
6265,6013,8
6118,6040,5
6701,6136,2
6026,7062,7
6116,6181,1
6904,6053,3
6026,6385,1
6243,6245,42
6373,6041,4
6130,7030,3
7029,6174,2
6052,6145,3
7136,7129,30
6307,6281,2
6250,6314,1
6278,6083,1
6433,6429,3
6083,6929,3
6503,7080,1
6041,6014,3
6734,6231,1
6346,6346,4
6314,7037,1
6276,6142,2
7078,4000,3
6341,6425,13
6157,6046,2
6164,6223,3
7144,6426,38
6219,6270,2
6264,6358,1
6236,7029,1
6075,6058,4
6008,6170,1
6245,6327,4
6210,6198,2
6354,6416,3
6233,6901,2
7026,7019,4
6924,6367,1
7007,7066,3
6176,6163,11
6250,6704,1
6433,6039,1
6035,7069,6
6081,6095,3
6048,7141,5
6257,6067,2
6386,7020,1
6041,6404,2
6747,7065,3
6367,6729,1
6046,7080,8
7047,6057,43
7144,6036,2
6372,6250,4
6027,6194,31
6163,6150,6
6136,7008,9
6075,6102,14
6145,6306,3
6117,7077,1
6274,6184,6
7127,6359,1
6192,6372,13
6011,6044,1
6252,7035,1
6195,6411,21
6200,6344,15
6155,6080,1
7017,6417,4
6039,7034,3
6316,6316,13
6705,6092,3
6025,6008,3
6168,6324,3
6396,6041,1
6215,6377,2
6723,7123,1
6249,6220,1
6391,6722,1
6150,4000,2
6233,6121,1
6280,6013,3
6022,6221,2
6091,6313,2
6907,7039,3
6928,6260,1
6100,7082,10
6044,7046,7
5007,6137,1
6126,6133,1
6199,6926,2
6195,6001,1
6192,6228,3
6742,6427,3
6107,6406,3
7017,6007,1
6083,6053,15
6745,6344,2
7036,6078,3
7082,7084,2
6383,6128,4
6280,6149,5
7023,6501,1
6180,6032,24
6168,6734,6
7024,6262,2
6379,6434,1
6240,6092,1
6115,6356,15
6147,7027,3
6025,6152,1
6234,6252,4
6079,6005,2
6423,7102,4
6161,6196,2
6118,6083,22
6406,7140,6
6729,6262,6
6211,6210,6
6116,6142,1
6052,6186,3
6204,6223,9
7081,6177,5
6179,6270,2
6156,7029,1
6748,6091,1
6196,6215,4
6368,6170,4
6015,6123,22
6258,6374,2
7014,6213,12
6222,6075,1
6340,7100,1
6153,6901,1
6103,6171,1
6746,6150,2
7072,7074,2
6216,6163,7
6374,7016,1
6116,6018,16
6184,6155,246
6246,6913,2
6230,6335,1
6216,6429,1
6007,6729,19
7145,7059,9
7072,6393,1
6021,6035,13
6092,6107,6
7069,6261,1
6191,6166,3
6104,6748,3
7046,7038,25
6916,7037,8
6066,6090,3
6361,7025,1
7067,7047,7
7035,6336,2
7043,6910,1
6741,6223,1
6038,6921,7
6104,6202,1
6279,6251,1
6203,6150,1
6015,6079,6
7048,6754,2
6225,6306,5
6114,6184,7
6241,6240,3
7077,6026,6
7147,6222,1
7149,7004,1
6160,6344,1
7056,6059,2
6725,7082,1
6908,6197,4
6099,6373,1
6357,6212,1
6359,7034,1
6146,6112,9
6703,6133,1
6425,6754,3
6411,6252,2
6129,6220,1
6015,6903,23
6254,6273,15
6082,6281,2
7109,6425,1
6711,6329,12
7030,6083,2
6272,6025,2
6254,6739,1
6099,6229,1
6005,7142,2
6188,6052,5
7022,7024,2
6267,6406,2
6141,6261,2
6232,7014,3
6148,6189,1
6186,6193,12
6385,6089,10
7062,6405,4
6042,6200,1
7043,6130,2
4000,7041,14
6227,7027,3
6345,6152,2
6229,6201,34
6201,6196,22
6254,6329,7
6090,10002,3
6338,6335,5
6416,6724,3
6208,6131,1
6036,7068,27
6913,6270,1
6254,6066,5
6019,6231,1
6411,6047,132
6042,6405,9
6129,6035,1
6336,7113,1
6272,6230,4
6220,7141,2
6371,6251,1
6906,6243,3
6114,6391,17
6908,7065,2
6050,6355,1
6160,6151,14
6099,6166,1
6146,6307,6
7056,6706,8
6114,7076,1
6739,7016,26
6064,6709,1
7035,6903,3
6042,6015,4
6108,6110,4
6345,6347,1
6275,6143,1
6175,6038,5
6064,6243,6
6229,6014,6
6154,6047,3
6186,7061,1
6167,6222,1
7020,6930,13
6057,6026,2
6927,7081,2
