RackID,Address,Ward,Community Area,Community Name,TotInstall,Latitude,Longitude,Historical,F12,F13,LOCATION
5245,1526 E 55th St,4,41,Hyde Park,1,41.79538,-87.588061,1,41.79538,-87.588061,"(41.79538, -87.588061)"
4074,1563 N Wells St,43,8,Near North Side,1,41.910364,-87.634518,1,41.910364,-87.634518,"(41.910364, -87.634518)"
2907,1127 W Grand Ave,27,24,West Town,1,41.890955,-87.655565,1,41.890955,-87.655565,"(41.890955, -87.655565)"
1512,1364 W 79th St,17,71,Auburn Gresham,2,41.750522,-87.657252,1,41.750522,-87.657252,"(41.750522, -87.657252)"
5504,1655 W Division St,1,24,West Town,1,41.903158,-87.669425,1,41.903158,-87.669425,"(41.903158, -87.669425)"
776,1104 S Wabash Ave,2,32,Loop,3,41.869004,-87.626027,0,41.869004,-87.626027,"(41.869004, -87.626027)"
1231,1554 N Milwaukee Ave,1,24,West Town,1,41.909668,-87.676586,0,41.909668,-87.676586,"(41.909668, -87.676586)"
295,1927 W North Ave,1,24,West Town,2,41.910364,-87.676022,0,41.910364,-87.676022,"(41.910364, -87.676022)"
2272,13000 S Carondolet Ave,10,55,Hegewisch,5,41.65899,-87.549728,1,41.65899,-87.549728,"(41.65899, -87.549728)"
2063,1722 N Ashland Ave,1,24,West Town,1,41.912883,-87.667888,1,41.912883,-87.667888,"(41.912883, -87.667888)"
6423,161 N Clark St,42,32,Loop,1,41.884636,-87.630761,1,41.884636,-87.630761,"(41.884636, -87.630761)"
2132,1225 W Belmont Ave,32,6,Lake View,3,41.939649,-87.659566,1,41.939649,-87.659566,"(41.939649, -87.659566)"
4026,110 S Wacker Dr,2,32,Loop,1,41.880421,-87.63715,1,41.880421,-87.63715,"(41.880421, -87.63715)"
2396,1601 N Clark St,43,7,Lincoln Park,4,41.91139,-87.631547,1,41.91139,-87.631547,"(41.91139, -87.631547)"
651,1 E Jackson Blvd,2,32,Loop,1,41.8781,-87.627495,0,41.8781,-87.627495,"(41.8781, -87.627495)"
2317,1800 W Chicago Ave,1,24,West Town,1,41.896132,-87.672417,1,41.896132,-87.672417,"(41.896132, -87.672417)"
2413,150 N Clark St,42,32,Loop,3,41.884264,-87.631096,1,41.884264,-87.631096,"(41.884264, -87.631096)"
6290,1324 W Wabansia Ave,32,24,West Town,6,41.914016,-87.66183,1,41.914016,-87.66183,"(41.914016, -87.66183)"
738,1401 W Devon Ave,40,77,Edgewater,2,41.998037,-87.665635,0,41.998037,-87.665635,"(41.998037, -87.665635)"
553,1910 S State St,3,33,Near South Side,4,41.856414,-87.62732,0,41.856414,-87.62732,"(41.856414, -87.62732)"
4055,1007 W Webster Ave,32,7,Lincoln Park,1,41.921553,-87.653795,1,41.921553,-87.653795,"(41.921553, -87.653795)"
3223,208 S LaSalle St,42,32,Loop,2,41.879235,-87.632319,1,41.879235,-87.632319,"(41.879235, -87.632319)"
4565,209 W 79th St,17,44,Chatham,1,41.750712,-87.629888,1,41.750712,-87.629888,"(41.750712, -87.629888)"
6114,1738 E 87th St,8,45,Avalon Park,1,41.736189,-87.581973,1,41.736189,-87.581973,"(41.736189, -87.581973)"
2889,220 W Garfield Blvd,3,37,Fuller Park,4,41.794675,-87.631345,1,41.794675,-87.631345,"(41.794675, -87.631345)"
1419,1236 E 53rd St,4,41,Hyde Park,1,41.799597,-87.595992,1,41.799597,-87.595992,"(41.799597, -87.595992)"
309,114 N Wabash Ave,42,32,Loop,1,41.883641,-87.626403,0,41.883641,-87.626403,"(41.883641, -87.626403)"
6093,1801 W 99th St,19,72,Beverly,1,41.713832,-87.667331,1,41.713832,-87.667331,"(41.713832, -87.667331)"
4646,2235 N Milwaukee Ave,1,22,Logan Square,1,41.92173,-87.695394,1,41.92173,-87.695394,"(41.92173, -87.695394)"
3659,12 N Pine Ave,29,25,Austin,3,41.880655,-87.763381,1,41.880655,-87.763381,"(41.880655, -87.763381)"
5454,1620 W Lawrence Ave,47,3,Uptown,1,41.969009,-87.669868,1,41.969009,-87.669868,"(41.969009, -87.669868)"
663,1043 N California Ave,1,24,West Town,1,41.900244,-87.696955,0,41.900244,-87.696955,"(41.900244, -87.696955)"
1357,1814 W 23rd St,25,31,Lower West Side,1,41.850848,-87.671411,1,41.850848,-87.671411,"(41.850848, -87.671411)"
666,1301 S Michigan Ave,2,33,Near South Side,1,41.865599,-87.623926,0,41.865599,-87.623926,"(41.865599, -87.623926)"
744,180 N Stetson Ave,42,32,Loop,1,41.885255,-87.622468,0,41.885255,-87.622468,"(41.885255, -87.622468)"
4269,13338 S Brandon Ave,10,55,Hegewisch,1,41.652927,-87.546085,1,41.652927,-87.546085,"(41.652927, -87.546085)"
6765,1466 N Halsted St,32,8,Near North Side,2,41.907945,-87.648365,0,41.907945,-87.648365,"(41.907945, -87.648365)"
2614,1640 N Drake Ave,26,23,Humboldt Park,2,41.910791,-87.715119,1,41.910791,-87.715119,"(41.910791, -87.715119)"
3141,211 S Laflin St,2,28,Near West Side,3,41.878703,-87.66421,1,41.878703,-87.66421,"(41.878703, -87.66421)"
1039,200 S Wacker Dr,2,32,Loop,4,41.8792,-87.636997,0,41.8792,-87.636997,"(41.8792, -87.636997)"
5273,1014 S Michigan Ave,2,32,Loop,2,41.869864,-87.624292,1,41.869864,-87.624292,"(41.869864, -87.624292)"
4495,1412 W 18th St,25,31,Lower West Side,1,41.857987,-87.661839,1,41.857987,-87.661839,"(41.857987, -87.661839)"
1136,1440 W 18th St,25,31,Lower West Side,1,41.857942,-87.662855,0,41.857942,-87.662855,"(41.857942, -87.662855)"
3528,1902 W Montrose Ave,47,4,Lincoln Square,1,41.961631,-87.676232,1,41.961631,-87.676232,"(41.961631, -87.676232)"
4451,10740 S Calhoun Ave,10,51,South Deering,2,41.700168,-87.562148,1,41.700168,-87.562148,"(41.700168, -87.562148)"
861,1111 N Wells St,43,8,Near North Side,1,41.902446,-87.634294,0,41.902446,-87.634294,"(41.902446, -87.634294)"
4276,1707 W Division St,1,24,West Town,1,41.903215,-87.670347,1,41.903215,-87.670347,"(41.903215, -87.670347)"
1124,2043 W Roscoe St,32,5,North Center,2,41.943053,-87.679955,0,41.943053,-87.679955,"(41.943053, -87.679955)"
5327,2001 W Addison St,47,5,North Center,2,41.946768,-87.678691,1,41.946768,-87.678691,"(41.946768, -87.678691)"
7009,2300 S Kedzie Ave,24,30,South Lawndale,1,41.849814,-87.705331,0,41.849814,-87.705331,"(41.849814, -87.705331)"
6339,2120 S Canal St,25,34,Armour Square,1,41.853903,-87.638759,1,41.853903,-87.638759,"(41.853903, -87.638759)"
144,1630 W Montrose Ave,47,3,Uptown,1,41.961771,-87.669798,0,41.961771,-87.669798,"(41.961771, -87.669798)"
2463,200 S Columbus Dr,42,32,Loop,4,41.88083,-87.620807,1,41.88083,-87.620807,"(41.88083, -87.620807)"
4917,2000 E 88th St,8,48,Calumet Heights,2,41.73523,-87.575659,1,41.73523,-87.575659,"(41.73523, -87.575659)"
3925,1120 W Taylor St,25,28,Near West Side,1,41.869587,-87.654982,1,41.869587,-87.654982,"(41.869587, -87.654982)"
3091,2100 S Keeler Ave,24,29,North Lawndale,1,41.853295,-87.729786,1,41.853295,-87.729786,"(41.853295, -87.729786)"
3121,1449 S Kolin Ave,24,29,North Lawndale,2,41.861493,-87.733404,1,41.861493,-87.733404,"(41.861493, -87.733404)"
42,1710 W Addison St,47,6,Lake View,4,41.947091,-87.671735,0,41.947091,-87.671735,"(41.947091, -87.671735)"
4285,2058 W Chicago Ave,32,24,West Town,1,41.896049,-87.678499,1,41.896049,-87.678499,"(41.896049, -87.678499)"
5019,1 E Jackson Blvd,2,32,Loop,2,41.8781,-87.627495,1,41.8781,-87.627495,"(41.8781, -87.627495)"
4500,2222 N Western Ave,1,22,Logan Square,2,41.922317,-87.687694,1,41.922317,-87.687694,"(41.922317, -87.687694)"
2280,1545 N Central Ave,37,25,Austin,1,41.908445,-87.765698,1,41.908445,-87.765698,"(41.908445, -87.765698)"
1577,1808 W 99th St,19,72,Beverly,1,41.71397,-87.667798,1,41.71397,-87.667798,"(41.71397, -87.667798)"
4023,121 W Wacker Dr,42,32,Loop,1,41.886589,-87.63164,1,41.886589,-87.63164,"(41.886589, -87.63164)"
2640,10155 S Ewing Ave,10,52,East Side,1,41.710922,-87.535094,1,41.710922,-87.535094,"(41.710922, -87.535094)"
5484,1103 N Ashland Ave,1,24,West Town,1,41.901649,-87.667333,1,41.901649,-87.667333,"(41.901649, -87.667333)"
6165,211 E Chicago Ave,42,8,Near North Side,1,41.89665,-87.622085,1,41.89665,-87.622085,"(41.89665, -87.622085)"
1504,1767 E 79th St,8,46,South Chicago,2,41.751494,-87.580771,1,41.751494,-87.580771,"(41.751494, -87.580771)"
1177,1151 W Webster Ave,32,7,Lincoln Park,1,41.921509,-87.6575,0,41.921509,-87.6575,"(41.921509, -87.6575)"
5355,1865 N Milwaukee Ave,1,22,Logan Square,2,41.915658,-87.68534,1,41.915658,-87.68534,"(41.915658, -87.68534)"
6191,1548 N Clark St,42,8,Near North Side,1,41.910608,-87.631838,1,41.910608,-87.631838,"(41.910608, -87.631838)"
3667,1201 W Pratt Blvd,49,1,Rogers Park,1,42.005401,-87.661198,1,42.005401,-87.661198,"(42.005401, -87.661198)"
4973,1400 S Jefferson St,2,28,Near West Side,2,41.863215,-87.642223,1,41.863215,-87.642223,"(41.863215, -87.642223)"
6104,1300 E 47th St,4,39,Kenwood,1,41.808808,-87.592871,1,41.808808,-87.592871,"(41.808808, -87.592871)"
4319,2274 N Lincoln Ave,43,7,Lincoln Park,1,41.92299,-87.645587,1,41.92299,-87.645587,"(41.92299, -87.645587)"
2610,2050 W Division St,1,24,West Town,1,41.903286,-87.678557,1,41.903286,-87.678557,"(41.903286, -87.678557)"
4069,1350 N Wells St,43,8,Near North Side,2,41.906999,-87.634755,1,41.906999,-87.634755,"(41.906999, -87.634755)"
5146,2200 N Oakley Ave,32,22,Logan Square,1,41.921982,-87.685592,1,41.921982,-87.685592,"(41.921982, -87.685592)"
7209,1110 W 35th St,11,60,Bridgeport,1,41.830787,-87.653817,0,41.830787,-87.653817,"(41.830787, -87.653817)"
2891,141 E Garfield Blvd,20,40,Washington Park,1,41.794247,-87.621758,1,41.794247,-87.621758,"(41.794247, -87.621758)"
2505,1919 W Cullerton St,25,31,Lower West Side,1,41.854808,-87.674056,1,41.854808,-87.674056,"(41.854808, -87.674056)"
1995,1060 W Addison St,44,6,Lake View,1,41.947232,-87.656416,1,41.947232,-87.656416,"(41.947232, -87.656416)"
4239,1340 W 71st Pl,17,67,West Englewood,3,41.764202,-87.658003,1,41.764202,-87.658003,"(41.764202, -87.658003)"
3621,2001 N Orchard St,43,7,Lincoln Park,3,41.918318,-87.646035,1,41.918318,-87.646035,"(41.918318, -87.646035)"
4850,1659 W North Ave,1,24,West Town,2,41.910463,-87.669429,1,41.910463,-87.669429,"(41.910463, -87.669429)"
1198,1531 N Damen Ave,1,24,West Town,2,41.909145,-87.677284,0,41.909145,-87.677284,"(41.909145, -87.677284)"
5992,1800 S Ashland Ave,25,31,Lower West Side,1,41.85769,-87.666292,1,41.85769,-87.666292,"(41.85769, -87.666292)"
3257,2019 W Lawrence Ave,47,4,Lincoln Square,1,41.968616,-87.679761,1,41.968616,-87.679761,"(41.968616, -87.679761)"
3777,2022 W Roscoe St,32,5,North Center,2,41.94333,-87.679313,1,41.94333,-87.679313,"(41.94333, -87.679313)"
3071,1 N Karlov Ave,28,26,West Garfield Park,1,41.880839,-87.727945,1,41.880839,-87.727945,"(41.880839, -87.727945)"
836,2207 W Montrose Ave,47,5,North Center,1,41.96125,-87.684159,0,41.96125,-87.684159,"(41.96125, -87.684159)"
3664,1713 W Polk St,2,28,Near West Side,1,41.871429,-87.669891,1,41.871429,-87.669891,"(41.871429, -87.669891)"
5050,2258 W Erie St,1,24,West Town,1,41.893202,-87.68328,1,41.893202,-87.68328,"(41.893202, -87.68328)"
4727,2000 S Pulaski Rd,24,29,North Lawndale,1,41.853963,-87.724954,1,41.853963,-87.724954,"(41.853963, -87.724954)"
2301,216 W Cermak Rd,25,34,Armour Square,2,41.853061,-87.632491,1,41.853061,-87.632491,"(41.853061, -87.632491)"
1565,2116 W 95th St,19,72,Beverly,2,41.721229,-87.675431,1,41.721229,-87.675431,"(41.721229, -87.675431)"
1437,1156 E 56th St,5,41,Hyde Park,2,41.793383,-87.597777,1,41.793383,-87.597777,"(41.793383, -87.597777)"
3206,1155 S Lake Shore Dr,2,33,Near South Side,3,41.868447,-87.617585,1,41.868447,-87.617585,"(41.868447, -87.617585)"
6331,1000 N Lake Shore Dr,42,8,Near North Side,1,41.900858,-87.624232,1,41.900858,-87.624232,"(41.900858, -87.624232)"
3321,2148 N Long Ave,37,19,Belmont Cragin,2,41.919731,-87.761099,1,41.919731,-87.761099,"(41.919731, -87.761099)"
2918,1758 W Greenleaf Ave,49,1,Rogers Park,1,42.010329,-87.674549,1,42.010329,-87.674549,"(42.010329, -87.674549)"
4336,2236 N Rockwell St,1,22,Logan Square,3,41.922801,-87.692963,1,41.922801,-87.692963,"(41.922801, -87.692963)"
410,1924 W North Ave,32,24,West Town,2,41.910631,-87.675968,0,41.910631,-87.675968,"(41.910631, -87.675968)"
6997,131 S Wabash Ave,42,32,Loop,1,41.880345,-87.625941,0,41.880345,-87.625941,"(41.880345, -87.625941)"
4272,13209 S Baltimore Ave,10,55,Hegewisch,1,41.655201,-87.546942,1,41.655201,-87.546942,"(41.655201, -87.546942)"
1041,1030 N Orleans St,27,8,Near North Side,1,41.901406,-87.637471,0,41.901406,-87.637471,"(41.901406, -87.637471)"
4651,223 N Keeler Ave,28,26,West Garfield Park,0,41.884051,-87.730475,1,41.884051,-87.730475,"(41.884051, -87.730475)"
6384,126 E Chestnut St,42,8,Near North Side,1,41.898509,-87.624677,1,41.898509,-87.624677,"(41.898509, -87.624677)"
3457,180 S Michigan Ave,42,32,Loop,1,41.879797,-87.624608,1,41.879797,-87.624608,"(41.879797, -87.624608)"
2131,1500 W Belmont Ave,44,6,Lake View,2,41.939862,-87.666453,1,41.939862,-87.666453,"(41.939862, -87.666453)"
5178,1431 N Leamington Ave,37,25,Austin,1,41.906512,-87.75444,1,41.906512,-87.75444,"(41.906512, -87.75444)"
6408,19 N Wells St,42,32,Loop,1,41.882202,-87.633652,1,41.882202,-87.633652,"(41.882202, -87.633652)"
871,123 N Wacker Dr,42,32,Loop,1,41.883944,-87.636685,0,41.883944,-87.636685,"(41.883944, -87.636685)"
5492,1825 W Irving Park Rd,47,5,North Center,1,41.954053,-87.674818,1,41.954053,-87.674818,"(41.954053, -87.674818)"
3549,1507 W Morse Ave,49,1,Rogers Park,2,42.007738,-87.668173,1,42.007738,-87.668173,"(42.007738, -87.668173)"
5811,1935 W Chicago Ave,1,24,West Town,2,41.895882,-87.675955,1,41.895882,-87.675955,"(41.895882, -87.675955)"
2593,1851 W Division St,1,24,West Town,2,41.903092,-87.674143,1,41.903092,-87.674143,"(41.903092, -87.674143)"
1337,1420 W 17th St,25,31,Lower West Side,1,41.858914,-87.661987,1,41.858914,-87.661987,"(41.858914, -87.661987)"
3103,2240 N Kilbourn Ave,31,20,Hermosa,1,41.921786,-87.739089,1,41.921786,-87.739089,"(41.921786, -87.739089)"
4282,1949 N Hoyne Ave,32,22,Logan Square,3,41.917221,-87.679895,1,41.917221,-87.679895,"(41.917221, -87.679895)"
3262,1455 N Leamington Ave,37,25,Austin,2,41.906866,-87.754447,1,41.906866,-87.754447,"(41.906866, -87.754447)"
6517,1566 N Damen Ave,1,24,West Town,1,41.909712,-87.677631,0,41.909712,-87.677631,"(41.909712, -87.677631)"
28,2135 N Rockwell St,1,22,Logan Square,1,41.920838,-87.692548,0,41.920838,-87.692548,"(41.920838, -87.692548)"
388,1601 S Morgan St,25,31,Lower West Side,1,41.859661,-87.650735,0,41.859661,-87.650735,"(41.859661, -87.650735)"
6308,1702 N Milwaukee Ave,32,24,West Town,1,41.912257,-87.680573,1,41.912257,-87.680573,"(41.912257, -87.680573)"
3405,11301 S Michigan Ave,9,49,Roseland,1,41.688872,-87.620879,1,41.688872,-87.620879,"(41.688872, -87.620879)"
2613,13100 S Doty Ave,9,54,Riverdale,2,41.657627,-87.591959,1,41.657627,-87.591959,"(41.657627, -87.591959)"
4840,1957 W Addison St,47,5,North Center,1,41.946748,-87.677464,1,41.946748,-87.677464,"(41.946748, -87.677464)"
6601,10337 S Kedzie Ave,19,74,Mount Greenwood,1,41.705444,-87.701232,0,41.705444,-87.701232,"(41.705444, -87.701232)"
662,2030 W Chicago Ave,32,24,West Town,1,41.896062,-87.677949,0,41.896062,-87.677949,"(41.896062, -87.677949)"
3027,1821 S Indiana Ave,2,33,Near South Side,1,41.857461,-87.622127,1,41.857461,-87.622127,"(41.857461, -87.622127)"
4653,1600 N Lake Shore Dr,43,8,Near North Side,2,41.913555,-87.623275,1,41.913555,-87.623275,"(41.913555, -87.623275)"
5184,201 E 111th St,9,49,Roseland,9,41.692535,-87.617711,1,41.692535,-87.617711,"(41.692535, -87.617711)"
620,1402 W Grand Ave,27,24,West Town,2,41.891151,-87.66252,0,41.891151,-87.66252,"(41.891151, -87.66252)"
1227,1516 N Milwaukee Ave,1,24,West Town,1,41.909224,-87.6759,0,41.909224,-87.6759,"(41.909224, -87.6759)"
6998,105 S Wabash Ave,42,32,Loop,1,41.880608,-87.625951,0,41.880608,-87.625951,"(41.880608, -87.625951)"
4514,1729 S Halsted St,25,31,Lower West Side,1,41.85817,-87.646558,1,41.85817,-87.646558,"(41.85817, -87.646558)"
4125,11828 S Western Ave,19,75,Morgan Park,1,41.678349,-87.680919,1,41.678349,-87.680919,"(41.678349, -87.680919)"
5840,1801 S Indiana Ave,2,33,Near South Side,2,41.857653,-87.622132,1,41.857653,-87.622132,"(41.857653, -87.622132)"
4891,2234 N Western Ave,1,22,Logan Square,1,41.922766,-87.687711,1,41.922766,-87.687711,"(41.922766, -87.687711)"
3128,1556 N Kostner Ave,37,23,Humboldt Park,2,41.908816,-87.736463,1,41.908816,-87.736463,"(41.908816, -87.736463)"
4445,10538 S Langley Ave,9,50,Pullman,2,41.702472,-87.606477,1,41.702472,-87.606477,"(41.702472, -87.606477)"
5491,1635 W Division St,1,24,West Town,1,41.90317,-87.668937,1,41.90317,-87.668937,"(41.90317, -87.668937)"
3934,1840 S Throop St,25,31,Lower West Side,1,41.856795,-87.659005,1,41.856795,-87.659005,"(41.856795, -87.659005)"
4650,1750 W Balmoral Ave,40,77,Edgewater,1,41.979904,-87.673296,1,41.979904,-87.673296,"(41.979904, -87.673296)"
6916,2252 N Western Ave,1,22,Logan Square,1,41.922892,-87.687758,0,41.922892,-87.687758,"(41.922892, -87.687758)"
971,100 S Wacker Dr,2,32,Loop,1,41.880514,-87.637106,0,41.880514,-87.637106,"(41.880514, -87.637106)"
1328,200 E 115th St,9,49,Roseland,2,41.685475,-87.617893,1,41.685475,-87.617893,"(41.685475, -87.617893)"
6356,2101 N Hoyne Ave,32,22,Logan Square,2,41.920092,-87.680056,1,41.920092,-87.680056,"(41.920092, -87.680056)"
3445,150 N Michigan Ave,42,32,Loop,2,41.884603,-87.624604,1,41.884603,-87.624604,"(41.884603, -87.624604)"
4633,2001 N Western Ave,32,22,Logan Square,1,41.917621,-87.687326,1,41.917621,-87.687326,"(41.917621, -87.687326)"
413,1427 E 60th St,20,42,Woodlawn,2,41.785941,-87.590871,0,41.785941,-87.590871,"(41.785941, -87.590871)"
3063,1523 W Jarvis Ave,49,1,Rogers Park,1,42.015888,-87.668733,1,42.015888,-87.668733,"(42.015888, -87.668733)"
1445,1200 E 63rd St,20,42,Woodlawn,2,41.780621,-87.596033,1,41.780621,-87.596033,"(41.780621, -87.596033)"
3755,10 S Riverside Plz,2,28,Near West Side,1,41.881674,-87.638874,1,41.881674,-87.638874,"(41.881674, -87.638874)"
4676,1619 W Edgewater Ave,40,77,Edgewater,1,41.985797,-87.670427,1,41.985797,-87.670427,"(41.985797, -87.670427)"
5021,155 N Michigan Ave,42,32,Loop,2,41.884663,-87.624265,1,41.884663,-87.624265,"(41.884663, -87.624265)"
5820,1670 W Division St,1,24,West Town,1,41.903329,-87.66998,1,41.903329,-87.66998,"(41.903329, -87.66998)"
3399,11133 S Michigan Ave,9,49,Roseland,1,41.692044,-87.620836,1,41.692044,-87.620836,"(41.692044, -87.620836)"
6254,212 E 83rd St,6,44,Chatham,1,41.743869,-87.619242,1,41.743869,-87.619242,"(41.743869, -87.619242)"
5495,2145 W Irving Park Rd,47,5,North Center,1,41.953963,-87.682725,1,41.953963,-87.682725,"(41.953963, -87.682725)"
3965,214 S Wabash Ave,42,32,Loop,1,41.879235,-87.626261,1,41.879235,-87.626261,"(41.879235, -87.626261)"
6316,1960 N Damen Ave,32,22,Logan Square,1,41.917312,-87.677784,1,41.917312,-87.677784,"(41.917312, -87.677784)"
5837,2110 E 72nd St,5,43,South Shore,1,41.763562,-87.574219,1,41.763562,-87.574219,"(41.763562, -87.574219)"
1453,20 E 63rd St,20,40,Washington Park,2,41.780158,-87.624668,1,41.780158,-87.624668,"(41.780158, -87.624668)"
2913,1119 W Granville Ave,48,77,Edgewater,2,41.994383,-87.658816,1,41.994383,-87.658816,"(41.994383, -87.658816)"
7075,222 W Superior St,42,8,Near North Side,1,41.895736,-87.63459,0,41.895736,-87.63459,"(41.895736, -87.63459)"
3525,201 W Monroe St,2,32,Loop,5,41.880581,-87.63394,1,41.880581,-87.63394,"(41.880581, -87.63394)"
3452,11224 S Michigan Ave,9,49,Roseland,1,41.690099,-87.621192,1,41.690099,-87.621192,"(41.690099, -87.621192)"
6043,1329 W Wilson Ave,46,3,Uptown,1,41.965181,-87.663385,1,41.965181,-87.663385,"(41.965181, -87.663385)"
7425,1979 W Monterey Ave,19,75,Morgan Park,1,41.691691,-87.670161,0,41.691691,-87.670161,"(41.691691, -87.670161)"
4041,2045 W Washington Blvd,2,28,Near West Side,2,41.883007,-87.677797,1,41.883007,-87.677797,"(41.883007, -87.677797)"
1341,1201 W 18th St,25,31,Lower West Side,1,41.857856,-87.65656,1,41.857856,-87.65656,"(41.857856, -87.65656)"
6412,230 W Washington St,42,32,Loop,1,41.883341,-87.634366,1,41.883341,-87.634366,"(41.883341, -87.634366)"
6086,100 N Riverside Plz,42,28,Near West Side,4,41.883322,-87.638644,1,41.883322,-87.638644,"(41.883322, -87.638644)"
6912,2039 N Western Ave,32,22,Logan Square,1,41.918723,-87.68727,0,41.918723,-87.68727,"(41.918723, -87.68727)"
4805,1858 W Wabansia Ave,32,24,West Town,1,41.912476,-87.674374,1,41.912476,-87.674374,"(41.912476, -87.674374)"
579,2204 W North Ave,1,24,West Town,2,41.910507,-87.68264,0,41.910507,-87.68264,"(41.910507, -87.68264)"
2504,1824 W Cullerton St,25,31,Lower West Side,2,41.855113,-87.671735,1,41.855113,-87.671735,"(41.855113, -87.671735)"
1098,2122 W Taylor St,2,28,Near West Side,1,41.869205,-87.679101,0,41.869205,-87.679101,"(41.869205, -87.679101)"
3639,2015 S Peoria St,25,31,Lower West Side,1,41.855085,-87.647992,1,41.855085,-87.647992,"(41.855085, -87.647992)"
6407,10 S Riverside Plz,2,28,Near West Side,1,41.881674,-87.638874,1,41.881674,-87.638874,"(41.881674, -87.638874)"
3745,1845 W Rice St,1,24,West Town,1,41.896762,-87.673306,1,41.896762,-87.673306,"(41.896762, -87.673306)"
3146,140 W Lake St,42,32,Loop,1,41.885916,-87.632189,1,41.885916,-87.632189,"(41.885916, -87.632189)"
3000,11071 S Hoyne Ave,19,75,Morgan Park,2,41.692458,-87.674035,1,41.692458,-87.674035,"(41.692458, -87.674035)"
