Case #,Date,IUCR,Description,Location Description,Beat,Ward,Latitude,Longitude
HT653736,12/30/2011 21:40,1811,CANNABIS 30GMS OR LESS,ALLEY,2011,40,41.98141546,-87.69718099
HT653774,12/30/2011 21:26,2024,HEROIN(WHITE),SIDEWALK,1135,2,41.87205548,-87.69819677
HT653733,12/30/2011 21:19,1811,CANNABIS 30GMS OR LESS,STREET,1522,29,41.87924949,-87.75779997
HT653685,12/30/2011 21:00,1812,CANNABIS MORE THAN 30GMS,STREET,2531,29,41.90403726,-87.7658721
HT653743,12/30/2011 21:00,1812,CANNABIS MORE THAN 30GMS,STREET,1523,28,41.88657301,-87.75543895
HT653808,12/30/2011 20:41,2027,CRACK,RESIDENTIAL YARD (FRONT/BACK),921,3,41.80235664,-87.64714972
HT653671,12/30/2011 20:37,1811,CANNABIS 30GMS OR LESS,STREET,723,16,41.77958889,-87.64787645
HT653695,12/30/2011 20:30,2170,POSSESSION OF DRUG EQUIPMENT,CTA PLATFORM,1134,24,41.8737398,-87.70606697
HT653696,12/30/2011 20:30,2026,PCP,STREET,1523,28,41.8891903,-87.76353185
HT653683,12/30/2011 20:23,2027,CRACK,APARTMENT,2011,40,41.97741948,-87.69118937
HT653657,12/30/2011 20:22,1811,CANNABIS 30GMS OR LESS,SIDEWALK,134,2,41.85327939,-87.62368309
HT653691,12/30/2011 19:50,2024,HEROIN(WHITE),SIDEWALK,1112,27,41.89451437,-87.71887322
HT653594,12/30/2011 19:44,1811,CANNABIS 30GMS OR LESS,STREET,2533,37,41.90973814,-87.74589862
HT653602,12/30/2011 19:40,2027,CRACK,ALLEY,1131,24,41.87408513,-87.73794541
HT653603,12/30/2011 19:40,1811,CANNABIS 30GMS OR LESS,STREET,624,8,41.75076584,-87.60380726
HT653609,12/30/2011 19:35,1811,CANNABIS 30GMS OR LESS,CTA PLATFORM,1832,42,41.89675777,-87.62835155
HT653601,12/30/2011 19:33,1811,CANNABIS 30GMS OR LESS,STREET,1511,29,41.90092935,-87.77396984
HT653605,12/30/2011 19:30,2021,BARBITUATES,SIDEWALK,1115,28,41.88112147,-87.72798731
HT653587,12/30/2011 19:20,1811,CANNABIS 30GMS OR LESS,SIDEWALK,1522,29,41.8742197,-87.76449466
HT653654,12/30/2011 18:46,2014,MANU/DELIVER: HEROIN (WHITE),RESTAURANT,726,17,41.76963742,-87.6725908
HT653502,12/30/2011 18:41,1811,CANNABIS 30GMS OR LESS,SIDEWALK,2531,29,41.90375146,-87.77193216
HT653517,12/30/2011 18:40,1811,CANNABIS 30GMS OR LESS,POLICE FACILITY/VEH PARKING LOT,1024,24,41.85668317,-87.70838474
HT653493,12/30/2011 18:30,1811,CANNABIS 30GMS OR LESS,SIDEWALK,313,20,41.78233526,-87.60625439
HT653469,12/30/2011 18:18,1811,CANNABIS 30GMS OR LESS,STREET,532,9,41.68002541,-87.61775599
HT653597,12/30/2011 18:15,2024,HEROIN(WHITE),SIDEWALK,1011,24,41.8623008,-87.72735722
HT653665,12/30/2011 18:10,1812,CANNABIS MORE THAN 30GMS,RESIDENCE,722,6,41.76981781,-87.63850808
HT653482,12/30/2011 17:51,1811,CANNABIS 30GMS OR LESS,SIDEWALK,1524,37,41.89316999,-87.75813412
HT653410,12/30/2011 16:40,1811,CANNABIS 30GMS OR LESS,RESIDENTIAL YARD (FRONT/BACK),1512,29,41.89092325,-87.7716001
HT653333,12/30/2011 16:23,1811,CANNABIS 30GMS OR LESS,SIDEWALK,414,8,41.75111908,-87.57611628
HT653285,12/30/2011 16:00,1811,CANNABIS 30GMS OR LESS,ALLEY,621,17,41.75085308,-87.64875395
HT653267,12/30/2011 15:50,1811,CANNABIS 30GMS OR LESS,SIDEWALK,1532,28,41.88339233,-87.74891258
HT653312,12/30/2011 15:45,2027,CRACK,STREET,1012,24,41.85415697,-87.72497479
HT653261,12/30/2011 15:35,2014,MANU/DELIVER: HEROIN (WHITE),SIDEWALK,1523,28,41.88453499,-87.75781497
HT653223,12/30/2011 15:32,1811,CANNABIS 30GMS OR LESS,PARKING LOT/GARAGE(NON.RESID.),1112,27,41.90263256,-87.71798357
HT653205,12/30/2011 14:55,1811,CANNABIS 30GMS OR LESS,RESIDENCE,2531,29,41.91274671,-87.77298125
HT653195,12/30/2011 14:50,1811,CANNABIS 30GMS OR LESS,RESIDENTIAL YARD (FRONT/BACK),624,8,41.75076517,-87.59896253
HT653177,12/30/2011 14:45,1811,CANNABIS 30GMS OR LESS,SIDEWALK,311,20,41.78398791,-87.6159522
HT653150,12/30/2011 14:40,1811,CANNABIS 30GMS OR LESS,TAVERN/LIQUOR STORE,1011,24,41.86611758,-87.72105795
HT653153,12/30/2011 14:35,1811,CANNABIS 30GMS OR LESS,SIDEWALK,1522,29,41.87766205,-87.75590847
HT653242,12/30/2011 14:35,2050,CRIMINAL DRUG CONSPIRACY,SIDEWALK,2532,37,41.90597853,-87.76221807
HT653161,12/30/2011 14:20,1811,CANNABIS 30GMS OR LESS,SIDEWALK,1511,29,41.90040599,-87.76574263
HT653147,12/30/2011 14:03,1811,CANNABIS 30GMS OR LESS,SIDEWALK,624,6,41.75141329,-87.60377427
HT653106,12/30/2011 13:41,1811,CANNABIS 30GMS OR LESS,APARTMENT,214,3,41.81793407,-87.62159353
HT653066,12/30/2011 13:10,1811,CANNABIS 30GMS OR LESS,SIDEWALK,2531,29,41.90279071,-87.76796228
HT653033,12/30/2011 13:05,1811,CANNABIS 30GMS OR LESS,SIDEWALK,713,16,41.79081929,-87.66100932
HT653022,12/30/2011 12:45,1822,MANU/DEL:CANNABIS OVER 10 GMS,PARKING LOT/GARAGE(NON.RESID.),614,21,41.74652984,-87.66349072
HT653026,12/30/2011 12:42,2027,CRACK,SIDEWALK,524,34,41.67951235,-87.63608327
HT652995,12/30/2011 12:25,1811,CANNABIS 30GMS OR LESS,STREET,624,8,41.75663805,-87.59940502
HT652956,12/30/2011 12:00,2027,CRACK,SIDEWALK,2222,21,41.72349371,-87.65315084
HT653000,12/30/2011 12:00,2093,FOUND SUSPECT NARCOTICS,SMALL RETAIL STORE,1122,28,41.88065051,-87.72300133
HT652919,12/30/2011 11:40,2025,HALLUCINOGENS,RESIDENCE-GARAGE,432,10,41.7179541,-87.53634642
HT652934,12/30/2011 11:33,1811,CANNABIS 30GMS OR LESS,SIDEWALK,1223,25,41.85219271,-87.68060242
HT652883,12/30/2011 11:20,2014,MANU/DELIVER: HEROIN (WHITE),VEHICLE NON-COMMERCIAL,1122,27,41.88919673,-87.72208998
HT653210,12/30/2011 11:15,2024,HEROIN(WHITE),SIDEWALK,1021,24,41.85977809,-87.70928335
HT653157,12/30/2011 11:00,1811,CANNABIS 30GMS OR LESS,STREET,532,9,41.67613791,-87.62060297
HT652877,12/30/2011 10:52,2027,CRACK,SIDEWALK,1125,2,41.87803579,-87.68650107
HT653086,12/30/2011 10:50,2027,CRACK,STREET,1135,2,41.87301395,-87.69387672
HT652801,12/30/2011 10:06,2014,MANU/DELIVER: HEROIN (WHITE),ALLEY,1021,24,41.86302806,-87.70942429
HT652845,12/30/2011 10:05,2024,HEROIN(WHITE),RESIDENTIAL YARD (FRONT/BACK),934,16,41.79516006,-87.65111742
HT652807,12/30/2011 9:55,1811,CANNABIS 30GMS OR LESS,SIDEWALK,713,15,41.7821941,-87.66290701
HT652931,12/30/2011 9:54,1811,CANNABIS 30GMS OR LESS,SIDEWALK,322,6,41.76621051,-87.61421485
HT652777,12/30/2011 9:15,2024,HEROIN(WHITE),SIDEWALK,1132,24,41.8663094,-87.723068
HT652733,12/30/2011 8:50,2024,HEROIN(WHITE),SIDEWALK,1112,27,41.89523726,-87.7201151
HT652747,12/30/2011 8:00,2093,FOUND SUSPECT NARCOTICS,GOVERNMENT BUILDING/PROPERTY,1654,41,41.95378797,-87.90747703
HT652840,12/30/2011 7:49,2015,MANU/DELIVER: HALLUCINOGEN,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,813,23,41.78924035,-87.74164267
HT652707,12/30/2011 7:26,2022,COCAINE,OTHER,1724,33,41.96318292,-87.70816133
HT652527,12/30/2011 1:05,1811,CANNABIS 30GMS OR LESS,STREET,432,10,41.70250989,-87.5246761
HT652523,12/30/2011 1:00,2027,CRACK,STREET,1422,26,41.902902,-87.71044316
HT652503,12/30/2011 0:30,2027,CRACK,STREET,1022,24,41.85668137,-87.70403491
HT652491,12/30/2011 0:25,2022,COCAINE,SIDEWALK,915,20,41.8084099,-87.67327092
HT652467,12/29/2011 23:38,1811,CANNABIS 30GMS OR LESS,ALLEY,735,17,41.76491607,-87.67334302
HT652486,12/29/2011 23:38,2017,MANU/DELIVER:CRACK,STREET,611,17,41.75558386,-87.6673621
HT652452,12/29/2011 22:58,2024,HEROIN(WHITE),STREET,633,9,41.72474715,-87.60468778
HT652425,12/29/2011 22:55,1811,CANNABIS 30GMS OR LESS,PARKING LOT/GARAGE(NON.RESID.),613,21,41.73597103,-87.65808633
HT652419,12/29/2011 22:50,2027,CRACK,STREET,621,17,41.75136752,-87.64391469
HT652448,12/29/2011 22:43,1811,CANNABIS 30GMS OR LESS,PARK PROPERTY,2422,49,42.01948179,-87.67127285
HT652415,12/29/2011 22:40,2024,HEROIN(WHITE),GAS STATION,634,6,41.72266747,-87.6236239
HT652413,12/29/2011 22:38,1821,MANU/DEL:CANNABIS 10GM OR LESS,SIDEWALK,824,16,41.78655046,-87.69589535
HT652432,12/29/2011 22:38,1811,CANNABIS 30GMS OR LESS,VEHICLE NON-COMMERCIAL,934,16,41.80138516,-87.65175924
HT652409,12/29/2011 22:30,1811,CANNABIS 30GMS OR LESS,SIDEWALK,1133,28,41.87714496,-87.71102749
HT652373,12/29/2011 22:10,1811,CANNABIS 30GMS OR LESS,STREET,334,7,41.7591169,-87.56468588
HT652385,12/29/2011 22:08,2024,HEROIN(WHITE),RESIDENCE PORCH/HALLWAY,224,3,41.808548,-87.61972038
HT652362,12/29/2011 22:06,1811,CANNABIS 30GMS OR LESS,SIDEWALK,1115,28,41.88079658,-87.72882762
HT652368,12/29/2011 22:04,2024,HEROIN(WHITE),SIDEWALK,825,15,41.77912663,-87.6850139
HT652329,12/29/2011 22:00,2024,HEROIN(WHITE),STREET,2234,34,41.68316196,-87.6684389
HT652382,12/29/2011 21:59,2022,COCAINE,PARKING LOT/GARAGE(NON.RESID.),1822,27,41.89941224,-87.64476357
HT652429,12/29/2011 21:11,2024,HEROIN(WHITE),RESIDENCE,2221,21,41.73433294,-87.66895925
HT652313,12/29/2011 21:01,1811,CANNABIS 30GMS OR LESS,ALLEY,2313,46,41.96287151,-87.65569585
HT652311,12/29/2011 20:52,2170,POSSESSION OF DRUG EQUIPMENT,STREET,812,23,41.78127534,-87.77543627
HT652282,12/29/2011 20:47,1811,CANNABIS 30GMS OR LESS,STREET,513,9,41.69980736,-87.62009267
HT652294,12/29/2011 20:45,2027,CRACK,STREET,725,15,41.77343409,-87.66758807
HT652278,12/29/2011 20:35,1811,CANNABIS 30GMS OR LESS,SIDEWALK,512,34,41.70066813,-87.62348502
HT652280,12/29/2011 20:35,2024,HEROIN(WHITE),SIDEWALK,1132,24,41.86630977,-87.72313775
HT652244,12/29/2011 20:20,1811,CANNABIS 30GMS OR LESS,SIDEWALK,2511,29,41.91515818,-87.76446562
HT652514,12/29/2011 20:20,1811,CANNABIS 30GMS OR LESS,SIDEWALK,1522,29,41.87937098,-87.76400465
HT652241,12/29/2011 20:15,1811,CANNABIS 30GMS OR LESS,ALLEY,1511,29,41.89177673,-87.77441698
HT652267,12/29/2011 20:08,2170,POSSESSION OF DRUG EQUIPMENT,SIDEWALK,2422,49,42.01949107,-87.67240623
HT652279,12/29/2011 19:56,1811,CANNABIS 30GMS OR LESS,STREET,421,7,41.75183759,-87.56611403
HT652299,12/29/2011 19:49,1812,CANNABIS MORE THAN 30GMS,APARTMENT,1733,33,41.9413674,-87.70632717
HT652242,12/29/2011 19:45,1811,CANNABIS 30GMS OR LESS,SIDEWALK,2535,27,41.90388456,-87.72376092
HT652229,12/29/2011 19:44,2170,POSSESSION OF DRUG EQUIPMENT,SIDEWALK,111,42,41.8855188,-87.63667926
HT652216,12/29/2011 19:42,1811,CANNABIS 30GMS OR LESS,SIDEWALK,2532,37,41.9132002,-87.76088249
HT652204,12/29/2011 19:37,1811,CANNABIS 30GMS OR LESS,SIDEWALK,825,15,41.77934603,-87.68498969
HT652251,12/29/2011 19:35,1811,CANNABIS 30GMS OR LESS,SIDEWALK,2223,21,41.73228281,-87.63515017
HT652262,12/29/2011 19:35,2021,BARBITUATES,STREET,825,15,41.78061555,-87.68382565
HT652231,12/29/2011 19:30,2024,HEROIN(WHITE),VACANT LOT/LAND,1113,28,41.88593898,-87.73610931
HT652218,12/29/2011 19:30,1811,CANNABIS 30GMS OR LESS,CTA PLATFORM,711,20,41.78008471,-87.63091785
HT652177,12/29/2011 19:20,2092,SOLICIT NARCOTICS ON PUBLICWAY,SIDEWALK,1523,28,41.88256485,-87.75622053
HT652518,12/29/2011 19:15,1811,CANNABIS 30GMS OR LESS,ALLEY,1532,28,41.88404559,-87.74678403
HT652158,12/29/2011 19:00,2024,HEROIN(WHITE),SIDEWALK,1023,28,41.86261765,-87.69467049
HT652173,12/29/2011 19:00,1811,CANNABIS 30GMS OR LESS,STREET,1732,30,41.94141097,-87.72617871
HT652181,12/29/2011 19:00,1811,CANNABIS 30GMS OR LESS,SIDEWALK,1132,28,41.87699785,-87.72402383
HT652157,12/29/2011 18:48,1811,CANNABIS 30GMS OR LESS,RESIDENTIAL YARD (FRONT/BACK),1113,28,41.87794951,-87.73698053
HT652115,12/29/2011 18:45,1811,CANNABIS 30GMS OR LESS,CTA BUS STOP,714,15,41.78663275,-87.66451447
HT652088,12/29/2011 17:45,1811,CANNABIS 30GMS OR LESS,STREET,112,2,41.87802361,-87.63206055
HT652140,12/29/2011 17:45,1811,CANNABIS 30GMS OR LESS,ALLEY,1115,28,41.88077413,-87.7308218
HT652041,12/29/2011 17:40,2093,FOUND SUSPECT NARCOTICS,POLICE FACILITY/VEH PARKING LOT,1024,24,41.85668317,-87.70838474
HT652111,12/29/2011 17:40,2027,CRACK,SIDEWALK,1021,24,41.86356026,-87.70938975
HT652189,12/29/2011 17:33,2024,HEROIN(WHITE),RESIDENCE,835,18,41.74548318,-87.68288633
HT651999,12/29/2011 17:15,2027,CRACK,SIDEWALK,1022,24,41.86125445,-87.69627727
HT651979,12/29/2011 17:00,2024,HEROIN(WHITE),STREET,621,17,41.75624097,-87.64064831
HT652063,12/29/2011 16:45,1811,CANNABIS 30GMS OR LESS,RESIDENCE,2423,49,42.01587318,-87.6707951
HT651939,12/29/2011 16:44,2027,CRACK,SIDEWALK,512,34,41.70698892,-87.62848767
HT651984,12/29/2011 16:35,2024,HEROIN(WHITE),STREET,2133,5,41.79480459,-87.60397916
HT652163,12/29/2011 16:30,2093,FOUND SUSPECT NARCOTICS,RESIDENTIAL YARD (FRONT/BACK),1131,24,41.87338968,-87.73825294
HT651940,12/29/2011 16:28,2024,HEROIN(WHITE),SIDEWALK,1133,24,41.87182977,-87.71772468
HV103801,12/29/2011 16:06,2014,MANU/DELIVER: HEROIN (WHITE),RESIDENCE-GARAGE,833,13,41.76812096,-87.72600461
HT652114,12/29/2011 16:05,2014,MANU/DELIVER: HEROIN (WHITE),RESIDENCE,1313,26,41.89060373,-87.68346185
HT652033,12/29/2011 15:58,2023,HEROIN(BRN/TAN),RESIDENCE,522,34,41.68438443,-87.62634384
HT651906,12/29/2011 15:41,1811,CANNABIS 30GMS OR LESS,STREET,2222,21,41.72820498,-87.64933148
HT651845,12/29/2011 15:20,1811,CANNABIS 30GMS OR LESS,PARKING LOT/GARAGE(NON.RESID.),1532,28,41.88585071,-87.74559601
HT651861,12/29/2011 15:17,1811,CANNABIS 30GMS OR LESS,SIDEWALK,1121,27,41.89146084,-87.71239071
HT651882,12/29/2011 15:15,2092,SOLICIT NARCOTICS ON PUBLICWAY,SIDEWALK,2024,46,41.96918166,-87.65497444
HT651875,12/29/2011 15:10,1811,CANNABIS 30GMS OR LESS,SIDEWALK,713,16,41.78940086,-87.65733156
HT651837,12/29/2011 15:05,2027,CRACK,SIDEWALK,1135,2,41.87301196,-87.6940126
HT651881,12/29/2011 15:00,1812,CANNABIS MORE THAN 30GMS,STREET,831,18,41.77142282,-87.71172415
HT651770,12/29/2011 14:40,2024,HEROIN(WHITE),VACANT LOT/LAND,1125,2,41.87683408,-87.6943931
HT651792,12/29/2011 14:34,1812,CANNABIS MORE THAN 30GMS,SIDEWALK,1522,29,41.87734582,-87.76347184
HT651884,12/29/2011 14:10,1812,CANNABIS MORE THAN 30GMS,RESIDENCE,423,7,41.74533798,-87.55899456
HT651739,12/29/2011 14:09,1821,MANU/DEL:CANNABIS 10GM OR LESS,SIDEWALK,1421,1,41.91088901,-87.69716167
HT651782,12/29/2011 13:52,2024,HEROIN(WHITE),SIDEWALK,2531,29,41.90213437,-87.77346709
HT651714,12/29/2011 13:40,1811,CANNABIS 30GMS OR LESS,STREET,631,6,41.743766,-87.62410981
HT651674,12/29/2011 13:31,1811,CANNABIS 30GMS OR LESS,SIDEWALK,222,3,41.81648386,-87.61918474
HT651813,12/29/2011 13:15,2024,HEROIN(WHITE),RESIDENCE,1113,28,41.88283212,-87.73815064
HT651668,12/29/2011 13:00,1811,CANNABIS 30GMS OR LESS,SIDEWALK,1522,29,41.87856608,-87.75614268
HT651630,12/29/2011 12:58,1811,CANNABIS 30GMS OR LESS,SIDEWALK,522,34,41.68117104,-87.62861573
HT651638,12/29/2011 12:50,2027,CRACK,STREET,735,17,41.7640148,-87.67458019
HT651598,12/29/2011 12:39,1811,CANNABIS 30GMS OR LESS,PARKING LOT/GARAGE(NON.RESID.),512,34,41.7069866,-87.62855727
HT651641,12/29/2011 12:30,2026,PCP,STREET,1524,37,41.89742549,-87.75797105
HT651702,12/29/2011 12:30,2027,CRACK,VACANT LOT/LAND,1122,27,41.89224675,-87.71973602
HT651618,12/29/2011 12:25,1811,CANNABIS 30GMS OR LESS,SIDEWALK,1122,27,41.88999243,-87.72361389
HT651669,12/29/2011 12:20,2092,SOLICIT NARCOTICS ON PUBLICWAY,SIDEWALK,1524,37,41.89751103,-87.76136055
HT651654,12/29/2011 12:20,2014,MANU/DELIVER: HEROIN (WHITE),PARKING LOT/GARAGE(NON.RESID.),631,8,41.74744447,-87.60498453
HT651700,12/29/2011 12:15,2091,FORFEIT PROPERTY,OTHER,2521,31,41.93140597,-87.74792692
HT651591,12/29/2011 12:14,1811,CANNABIS 30GMS OR LESS,SIDEWALK,1134,24,41.86686727,-87.70339167
HT651569,12/29/2011 12:10,1811,CANNABIS 30GMS OR LESS,STREET,1533,28,41.88083347,-87.74759557
HT651546,12/29/2011 11:55,2024,HEROIN(WHITE),SIDEWALK,1211,2,41.8799774,-87.68529541
HT651594,12/29/2011 11:45,2024,HEROIN(WHITE),SIDEWALK,1132,24,41.8662939,-87.72428335
HT651502,12/29/2011 11:30,2027,CRACK,SIDEWALK,2531,29,41.90998765,-87.77163137
HT651508,12/29/2011 11:30,1811,CANNABIS 30GMS OR LESS,SIDEWALK,1312,26,41.90217024,-87.68971417
HT651803,12/29/2011 11:30,1811,CANNABIS 30GMS OR LESS,RESIDENCE,1821,27,41.90897765,-87.63867626
HT651501,12/29/2011 11:25,2014,MANU/DELIVER: HEROIN (WHITE),VEHICLE NON-COMMERCIAL,1114,28,41.88449985,-87.73168285
HT651498,12/29/2011 11:20,1821,MANU/DEL:CANNABIS 10GM OR LESS,RESTAURANT,1511,29,41.90189622,-87.77471811
HT651447,12/29/2011 10:50,1811,CANNABIS 30GMS OR LESS,STREET,1421,1,41.91035102,-87.69466881
HT651528,12/29/2011 10:45,2024,HEROIN(WHITE),SIDEWALK,1122,27,41.88664496,-87.72267619
HT651426,12/29/2011 10:40,1811,CANNABIS 30GMS OR LESS,CTA GARAGE / OTHER PROPERTY,634,21,41.72287542,-87.62441285
HT651403,12/29/2011 10:07,2017,MANU/DELIVER:CRACK,SIDEWALK,1522,29,41.87854259,-87.75802296
HT651462,12/29/2011 9:30,1811,CANNABIS 30GMS OR LESS,STREET,921,3,41.80257427,-87.64729043
HT651299,12/29/2011 8:10,2092,SOLICIT NARCOTICS ON PUBLICWAY,SIDEWALK,1122,28,41.88064215,-87.72349348
HT651260,12/29/2011 7:41,1811,CANNABIS 30GMS OR LESS,STREET,1533,28,41.88155179,-87.75450005
HT651367,12/29/2011 6:00,1812,CANNABIS MORE THAN 30GMS,POLICE FACILITY/VEH PARKING LOT,1134,24,41.8682851,-87.709755
HT651170,12/29/2011 3:35,2027,CRACK,SIDEWALK,1115,28,41.87897113,-87.72612752
HT651165,12/29/2011 3:05,1811,CANNABIS 30GMS OR LESS,STREET,2513,29,41.91295247,-87.78032741
HT651139,12/29/2011 1:43,2027,CRACK,SIDEWALK,1823,27,41.90273288,-87.63749867
